demand_point_index,x_coordinate,y_coordinate,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
27,27.5,0.5,0.45564295,0.787137039,1.2147281,3.333433973,5.307336221,7.446315598,10.39005025,15.43355495,18.08708814,26.4113094,28.36786114
28,28.5,0.5,0.454991059,0.962177851,1.258285508,4.366068235,6.763426261,7.613989974,10.2791242,15.02103109,16.62312044,27.8335518,27.85645937
29,29.5,0.5,0.505456382,0.860671489,1.111405517,3.977924681,6.91066705,9.431559396,12.28302499,15.22891421,19.01662835,27.95667806,34.33826438
30,30.5,0.5,0.589459721,1.039037884,1.436995942,4.052949347,6.041893489,9.277403289,14.77430837,19.74371385,23.38057426,37.22835097,41.69879135
31,31.5,0.5,0.721960495,1.575654281,1.578223992,4.473523345,7.789671707,11.19259431,16.20755542,26.08575748,28.84659655,44.67498843,54.76161357
32,32.5,0.5,0.750843629,1.660162487,1.72573213,5.051877277,8.308519608,14.14622246,20.32570109,27.95845828,33.71383837,43.70891891,56.33447016
33,33.5,0.5,0.747967118,1.677849742,1.838951298,4.83869313,9.981258127,16.75167915,22.9921522,33.62214505,38.99151487,56.58811624,63.84471608
34,34.5,0.5,1.325534039,2.391530212,4.579464291,9.267150617,18.66766967,19.31958088,28.274829,36.62995565,44.35957611,60.70799689,74.01758524
35,35.5,0.5,0.861825827,1.586758409,2.743948235,5.937082039,13.50864049,17.77576931,30.40598766,33.10559405,46.03478724,55.71822792,73.98683403
36,36.5,0.5,0.841496303,1.72990223,2.93033543,6.092178053,14.77524949,22.23028155,29.41204562,37.4945933,49.53452939,62.58148224,83.99163893
37,37.5,0.5,0.809080791,1.548084993,2.748140578,6.609089843,14.21106263,21.03034228,27.22622317,31.07601948,47.9820087,53.78115005,83.40467376
38,38.5,0.5,0.773966153,1.650623234,2.727968808,6.947742425,16.00112082,23.20302009,30.23996622,32.56278586,50.1714141,59.51668811,85.16723577
39,39.5,0.5,1.155602779,2.155779291,3.35068013,8.497388537,17.13283226,21.21446001,29.45303923,33.51333557,51.78221801,57.82777416,87.41567422
40,40.5,0.5,2.239577107,3.842703593,6.863286399,17.21911757,32.89122454,44.40555187,55.20715311,63.87849766,91.94666016,96.74766276,140.3236292
41,41.5,0.5,2.113545937,4.350575631,6.89832856,16.78991139,24.64337343,37.41129274,51.19704426,61.39727034,74.87789523,96.70686013,115.8893204
42,42.5,0.5,1.516392878,2.84539947,5.067793786,10.08839004,24.64699156,33.39463671,43.41286523,48.41668619,64.12696591,78.1544622,95.38833974
43,43.5,0.5,0.843202917,1.498062556,2.410683709,5.689957176,14.43753659,20.48934284,26.90454442,40.47405966,46.34559152,68.14995724,76.06759997
44,44.5,0.5,0.561731507,1.48085198,2.015874655,6.475952292,9.933764565,15.78965016,21.01603709,31.66410678,35.59819878,53.92218817,60.12776794
45,45.5,0.5,0.47957469,1.222955482,2.432420798,6.157420793,11.02873641,11.90537233,18.3113927,25.35943457,28.45959615,45.3479751,49.00492265
46,46.5,0.5,0.453406091,1.177697974,2.32312413,5.46810142,10.63417141,13.22755494,17.45118834,25.42671463,28.76617087,43.9140095,49.12437132
47,47.5,0.5,0.662991888,1.559168075,2.031443285,6.744923976,12.28879859,15.45997501,26.25901805,36.27537353,40.78580597,62.82977372,68.6904558
48,48.5,0.5,0.726440021,1.54013517,2.370531928,6.174644173,14.68751546,20.52518473,27.79092802,46.67116785,44.32173148,73.5248551,74.36302212
49,49.5,0.5,0.72640958,1.435175185,2.243169678,6.388029145,14.151255,19.51125345,26.29706904,37.97917788,40.3951335,62.24587052,63.21921189
50,50.5,0.5,1.596876912,3.252608233,4.754353843,11.14318181,23.23683636,26.47001468,38.06937574,40.95022896,55.85269885,67.83826519,88.91174406
51,51.5,0.5,2.243062584,3.859327604,5.793298626,15.93637637,25.88584894,38.25329201,47.73941919,49.72295546,90.68143012,81.72180037,144.0964189
52,52.5,0.5,3.301612874,5.225219826,11.6565773,26.38858197,37.71302813,59.41055233,73.95283992,98.52758103,124.0568084,155.27487,201.604977
53,53.5,0.5,2.703967374,3.794767736,5.640609091,12.99888167,22.26692294,39.05595282,45.64294578,49.03486451,65.52426793,75.29157199,106.4328471
54,54.5,0.5,2.555454859,4.455289337,7.155979569,16.09549854,28.23459117,44.19722809,53.83118966,69.61604022,82.4146975,110.7625022,133.4667241
55,55.5,0.5,1.24882902,3.453964496,4.366567577,11.15776302,19.33201696,28.84396764,37.51224819,36.14505456,68.69883278,55.47063262,108.5772248
56,56.5,0.5,1.351159006,3.057841149,4.677578712,13.17387461,23.04829026,35.75558015,43.31196178,49.64807218,80.40542197,81.00104153,137.2273874
57,57.5,0.5,0.600491473,1.54272863,2.339364131,8.940894539,17.09117383,24.56358406,31.47233281,38.20190665,55.535904,60.02873694,95.57814571
58,58.5,0.5,0.465288464,1.066944125,1.799796018,6.28031181,13.69359094,19.64045085,25.74822685,30.31574014,43.25574036,52.13966542,71.36000231
59,59.5,0.5,0.539187009,1.105194553,1.947591738,5.406497453,13.97263332,19.04506879,27.89445323,29.46121282,44.82308365,48.01331487,75.44297218
60,60.5,0.5,0.821518435,1.909071523,3.464511145,6.90102886,13.304879,16.11423888,21.87700146,31.06462531,38.20599025,49.75084007,62.90777541
61,61.5,0.5,0.556599406,0.965157896,1.994729989,5.787149314,10.14751098,13.58907742,17.70452965,25.94759355,32.04384274,42.1844579,52.75862809
62,62.5,0.5,0.427234881,1.010191256,1.661380684,4.712628176,10.64345605,13.64356414,18.96376932,25.33719313,34.20959647,43.47296356,57.17500659
63,63.5,0.5,0.412468775,1.066750847,1.466829301,4.441850616,11.28433357,16.69163599,20.85494112,26.41092725,35.82442593,44.78744443,58.80638663
64,0.5,1.5,0.298466934,0.596061376,1.628492696,4.244283951,6.809984473,7.572224427,10.21419345,13.68549786,16.19951506,21.53571481,25.7593939
65,1.5,1.5,0.270703897,0.58340953,1.102918468,2.385637541,4.251098959,6.573512919,7.761605522,10.86534523,13.34987714,17.56453575,20.59836584
66,2.5,1.5,0.285830484,0.516462704,1.082677137,2.357384188,4.179199333,6.570331203,8.558600446,11.08978383,13.92592108,16.887402,21.8185675
67,3.5,1.5,0.366458431,0.609658321,1.04305549,2.548226501,4.047111454,6.764784548,8.695080572,13.04922809,15.37505449,21.91554852,24.56237722
68,4.5,1.5,0.402828982,0.717629571,1.117046552,2.648735521,4.446341944,7.162778617,9.412148155,12.74394474,16.17064014,21.55027748,25.44945921
69,5.5,1.5,0.402487069,0.735985881,1.231115718,2.693510531,5.172755141,7.109611056,10.95553966,12.82377539,14.83986474,20.71861682,21.66960392
70,6.5,1.5,0.49245535,0.868210528,1.736100197,4.324878092,5.247061029,9.418123421,13.52088732,15.96612763,22.09061421,25.30170537,33.91438071
71,7.5,1.5,0.56465831,1.040453256,2.225521707,5.155224344,8.080873596,12.16441323,17.1176711,22.20964045,30.88811616,36.21744839,51.10911245
72,8.5,1.5,0.771674486,1.15403289,2.666360076,5.940473396,11.07868326,16.73226233,19.90355347,23.28284868,29.83996578,37.02372649,45.44283877
73,9.5,1.5,0.446931928,0.816043777,1.775335245,4.747265781,6.629127648,11.37743644,15.07128217,22.88065483,29.17035451,39.54323905,52.61171929
74,10.5,1.5,0.483481521,0.827918869,2.133575842,5.795729801,9.891696233,13.77093237,20.45718615,30.1963215,33.52569276,52.00616196,57.62899791
75,11.5,1.5,0.438554521,0.880833751,2.484564225,5.28940209,10.54268573,12.60552788,18.87593301,24.83275944,28.90841522,42.98332398,46.21970565
76,12.5,1.5,0.461379996,1.019632336,1.86486488,4.190924408,6.893806999,10.92682105,15.42406485,23.47051399,27.41758336,44.51954148,51.02276068
77,13.5,1.5,0.380905127,0.864409504,1.085673175,3.513426697,4.301833651,7.048069865,10.35831626,14.94993093,18.54165852,31.61150886,34.80936771
78,14.5,1.5,0.39843626,0.849970408,1.290868098,3.751190736,4.745059522,7.399224096,11.19326238,16.71334322,17.82906063,30.75706197,35.24569221
79,15.5,1.5,0.510804976,1.064508905,2.206849287,5.082650097,8.849487852,10.38521805,13.76332495,18.81050217,24.70182162,33.4192559,45.98277463
80,16.5,1.5,0.669454966,1.313419396,3.208516854,5.996730603,11.49107992,14.274119,21.08788429,25.06567942,31.16093224,44.4080379,51.07778455
81,17.5,1.5,0.544680996,0.970998442,2.272094848,5.678692886,9.159307997,12.18482518,18.94899584,25.68077247,26.3237687,43.84245609,47.00076534
82,18.5,1.5,0.525549494,1.018509432,2.235509288,5.324067566,9.320903804,11.89533513,16.3268469,25.93152969,24.72718844,42.18286096,47.78861225
83,19.5,1.5,0.39425552,0.817353387,1.598414326,5.343710783,7.051389969,10.54449281,13.19075942,21.69263964,23.0392552,34.50906597,42.31561963
84,20.5,1.5,0.422964004,0.723039817,1.952841303,5.581801622,7.744095544,10.12861079,14.10120302,20.29878622,22.60400499,35.90403587,36.93459756
85,21.5,1.5,0.426982912,0.851009071,1.797229984,4.364337115,7.358483427,10.61055182,13.12682573,22.62312601,24.62955353,38.83582121,42.48567705
86,22.5,1.5,0.442476387,0.829934306,1.68599381,3.978658996,6.68756473,10.2782641,14.01255222,24.15222646,26.6608481,43.77964957,48.04323879
87,23.5,1.5,0.556120533,0.900306007,1.885253677,5.181390318,7.872000664,13.04996722,18.96993582,26.74955706,32.34617957,46.53219813,56.52819694
88,24.5,1.5,0.525568041,0.945048809,2.057275172,5.188977292,8.825751518,12.53473931,18.26193169,26.89433229,32.64847268,45.55796795,52.80784607
89,25.5,1.5,0.442776331,0.853839344,1.587344951,4.044104776,6.229712284,10.43893682,14.00540386,21.28101702,22.81188489,36.43983787,34.1048809
90,26.5,1.5,0.39847514,0.878834506,1.191868782,3.84502428,6.672345366,8.497478797,12.92245464,17.21459056,21.15952676,29.11231587,33.47040638
91,27.5,1.5,0.476975913,0.798094004,1.208590237,3.117939105,6.089535102,8.232909147,12.434923,16.71734947,19.33088203,28.2424743,29.86650178
92,28.5,1.5,0.47173254,0.819880873,1.21432098,3.166105258,5.300862725,7.261315862,10.97737828,16.95520275,18.94689754,31.39724732,36.95617773
93,29.5,1.5,0.515741254,0.908726763,1.237183498,3.858515752,5.539061561,7.506995532,11.00521765,16.81512575,20.11162682,29.33815141,39.09317943
94,30.5,1.5,0.514174556,0.974763535,1.227390836,3.882464062,6.814266035,8.355195672,14.9459813,20.93156256,20.77968284,40.77158155,38.30669257
95,31.5,1.5,0.552190048,1.32441391,1.389742511,3.731881168,6.976745582,9.13944649,17.15514396,24.77478912,28.82538956,47.93114808,51.59090381
96,32.5,1.5,0.468704386,1.223280168,1.394858504,4.157691353,7.059668566,11.08649761,15.9635489,22.58061114,24.89119708,39.89295291,40.44975064
97,33.5,1.5,0,0,0,0,0,0,0,0,0,0.200693183,0.736785103
98,34.5,1.5,0.866173242,1.480413508,2.417947287,5.424825065,12.38097494,15.07159703,24.67790346,34.15381453,47.59681524,60.86663256,80.15424817
99,35.5,1.5,1.356063105,2.498063531,4.796271396,11.49685713,19.74404814,28.38692146,37.27133261,41.79341032,59.78012642,66.17017767,98.28365115
100,36.5,1.5,1.480487673,2.895020228,5.732232409,14.83864734,25.55371232,36.61872298,44.76264972,51.72266058,76.27967511,94.46312924,127.2067294
101,37.5,1.5,1.057677261,2.252155782,4.235552947,10.11931567,20.23164084,27.01315822,33.15534486,34.15421264,64.20079671,65.29180747,104.4970458
102,38.5,1.5,1.338877427,2.523766267,4.217090226,14.08329959,25.32618863,35.33891859,39.71614487,45.62975571,76.7887292,76.85143826,127.3143325
103,39.5,1.5,1.680180728,2.813623656,4.652373495,13.69536989,20.47821241,27.49236249,32.98938094,37.48180794,67.29912093,68.62144259,111.2331832
104,40.5,1.5,2.393156242,4.151530904,5.775528979,24.59949879,37.025139,50.40546556,75.22150346,73.10261726,120.6979518,120.5080714,184.7918826
105,41.5,1.5,2.203112403,2.936292876,4.509296887,10.43202597,23.29496283,34.35500416,39.25429747,45.290333,76.33602399,70.31401072,116.2343195
106,42.5,1.5,1.700670258,3.053235045,5.822055342,11.21100136,21.17127865,32.73580447,44.22053521,44.01728405,58.60902951,72.23787036,90.29114483
107,43.5,1.5,0.120932779,0.218284338,0.43589574,1.282846932,2.700043883,3.926453925,4.597611407,5.570522927,8.798902211,4.557158524,11.79515812
108,44.5,1.5,0,0,0,0,0,0,0,0,0,-1.17906445,0.985263657
109,45.5,1.5,0.599019599,1.342331399,1.803103261,5.2815007,11.71639036,17.58681259,25.9517486,34.59559727,41.5068189,59.44791544,70.24174117
110,46.5,1.5,0.585313476,1.256853626,1.927010535,5.582797205,8.94799141,14.95140105,22.3473635,30.5551145,36.77434323,51.74540373,61.15779633
111,47.5,1.5,0.56320277,1.38981406,2.720028556,6.30919091,13.43977012,19.28641991,28.2962738,33.30987153,43.99276765,57.41575219,73.26434395
112,48.5,1.5,0.657099109,1.429970302,2.648376192,6.051959435,13.81494939,18.56810564,26.3157828,34.66076919,42.5450371,57.69403414,65.84074627
113,49.5,1.5,0.87954234,1.501885704,2.713825035,5.941001508,13.93445616,18.3851469,28.53195342,29.79018713,40.27709402,47.68080707,65.45227106
114,50.5,1.5,1.103738712,2.244449434,3.804411647,8.422169426,19.19905139,27.11261699,29.11654904,35.0816801,47.95140355,54.26506747,77.80741776
115,51.5,1.5,1.70236117,4.268178179,6.705892245,14.86160287,27.85268463,37.83798542,51.47549357,61.4202141,80.66629875,96.02270312,131.7172863
116,52.5,1.5,2.665390417,4.570317612,7.686595067,17.19790349,32.53297658,39.95798121,48.38338858,63.66100763,86.92346804,101.9956246,140.6173133
117,53.5,1.5,1.446707178,2.900955872,3.838192856,9.202311316,14.73324859,22.63170207,27.09143305,28.25526127,48.8843461,43.07789681,76.48417259
118,54.5,1.5,0.744323397,1.476837743,2.327632679,7.583990531,15.69311802,19.81638963,29.66101354,26.21351753,43.12313961,43.21888709,65.45305669
119,55.5,1.5,1.163550684,2.069594936,4.053761211,11.12624953,15.53641277,25.0418467,33.14096866,32.84422754,58.00068739,50.90639261,94.96850956
120,56.5,1.5,0.997626106,1.771373749,3.202906864,8.682202409,15.84938125,26.33781953,33.71463693,38.97736753,54.76154583,62.82735727,90.038304
121,57.5,1.5,0.73874274,1.770545106,2.866305072,6.571843946,14.038309,21.19850737,26.84274548,32.40308556,40.88789976,52.91163286,66.24550022
122,58.5,1.5,0.881937444,2.326245096,3.29659276,8.218037095,14.29846277,20.26305626,25.43786351,30.35470233,37.30110183,49.56203918,58.31089705
123,59.5,1.5,0.728848309,1.214093727,2.195034164,5.062526923,12.6541232,19.95053002,23.04302339,33.16815748,41.16053507,57.70124247,67.06820248
124,60.5,1.5,0.167767736,0.364876977,0.708374556,1.52659376,2.774915673,3.514416168,4.191715169,5.952044856,7.367453222,7.590762425,11.863937
125,61.5,1.5,0.132678455,0.264462519,0.484619297,1.078620619,2.32159023,3.009161191,4.051305069,5.362573845,6.826865897,8.018944528,11.65448286
126,62.5,1.5,0.145715313,0.31845217,0.61641148,1.195229181,2.773404923,3.344629619,4.928899449,6.133501571,8.24249353,8.518200879,13.49041018
127,63.5,1.5,0.637022122,1.202875081,2.366311849,5.86945242,11.81707635,19.53183459,23.53118786,23.58259136,34.08673871,37.74097373,55.85905494
128,0.5,2.5,0.282590778,0.537447152,1.666722085,4.420009894,6.888568269,7.602366786,10.28864221,14.29940706,15.48762224,23.19562214,24.91548079
129,1.5,2.5,0.311093713,0.564435767,1.239615622,2.955518319,4.980707135,6.730251513,9.006405608,13.9912673,16.72451264,22.58755142,27.39190204
130,2.5,2.5,0.327093915,0.596391595,1.334237949,3.338603613,4.980044369,8.029923617,9.904030106,13.31048095,18.25906631,21.1078609,28.85507484
131,3.5,2.5,0.375236695,0.65070913,1.385663673,3.52870257,4.921407591,7.939713817,10.98454785,14.55767157,18.6602982,23.71886661,29.64550947
132,4.5,2.5,0.388335613,0.766888635,1.199449141,3.074907347,5.08797184,7.811765989,11.19162679,17.4343324,16.610004,30.49402034,24.86093877
133,5.5,2.5,0.397916962,0.689724479,1.242767937,2.846803472,4.765489692,7.916522023,11.48854836,16.25275764,18.13739501,29.06366078,28.71216542
134,6.5,2.5,0.402862721,0.835167566,1.554899388,3.590182301,5.863573244,8.165041449,13.67203959,18.79549259,22.41178305,34.04206208,34.95044501
135,7.5,2.5,0.57789857,1.006320466,2.210387087,5.106192386,9.64027651,12.39774772,17.94442703,25.51495695,31.52454931,43.99549405,51.104479
136,8.5,2.5,0.799716727,1.237069885,3.203772593,6.491145616,11.06362682,15.84921595,22.35544836,26.35247462,33.23128399,42.88926066,54.84583593
137,9.5,2.5,0.562809248,0.923728598,1.844232415,5.539595688,8.161928268,13.61656809,18.5663116,23.79769547,31.34937382,39.22646234,53.05216295
138,10.5,2.5,0.472772364,0.785767922,1.902458072,5.015799135,8.015819337,10.87647882,19.75607937,29.94095148,36.87564397,54.13359959,65.45325574
139,11.5,2.5,0.41632158,0.880731381,2.266220536,5.48695158,10.78619513,10.62357523,19.64065993,30.49370071,31.87832875,53.19881709,55.68720025
140,12.5,2.5,0.412880545,0.819433999,1.636138982,4.633886355,7.87178221,10.27480541,18.04810415,23.68474479,27.67027254,48.37175211,57.07529098
141,13.5,2.5,0.428462676,0.844369525,1.221275635,3.055651898,4.169456396,7.211492924,12.87091777,20.73591096,22.00173057,38.91800124,49.76990861
142,14.5,2.5,0.401458784,0.674109588,1.272052504,4.178475071,5.780824276,7.983934456,11.98666437,19.2596736,21.01532549,33.33825009,41.7498914
143,15.5,2.5,0.539052254,0.986094636,1.958797007,5.192841463,7.860701697,10.43238096,16.83052612,25.43951363,27.4339752,44.61462316,56.86243159
144,16.5,2.5,0.792002157,1.345390355,3.202938389,6.544146894,12.22822799,13.9702785,20.10397982,28.28461303,31.23210437,46.79995509,54.60827184
145,17.5,2.5,0.574425923,1.108414174,2.583993423,6.120005549,9.617115369,13.77876273,18.74260004,26.92653107,28.33601911,43.1516974,50.42694037
146,18.5,2.5,0.572162616,1.067122084,2.882652866,6.696862349,11.0095297,14.35716381,16.03333246,27.6469154,28.24472561,40.50550804,52.52710209
147,19.5,2.5,0.494375523,0.990654344,2.540642002,5.489726627,9.83873683,10.62361899,14.77874564,23.9841856,23.82147622,39.18444989,44.99182873
148,20.5,2.5,0.372477942,0.81270979,2.089265011,5.70929508,8.657085229,10.76293006,15.13424148,24.76448761,24.68246867,45.31966032,42.1293375
149,21.5,2.5,0.380131293,0.81285879,1.659875095,4.901373201,7.394019275,10.85607279,15.98619354,28.83943792,27.52026638,53.51522243,46.23596247
150,22.5,2.5,0.543529907,0.903415332,1.833385131,4.834743149,7.892258686,13.63351946,20.44925934,29.57231555,35.3323982,56.03385966,61.80682641
151,23.5,2.5,0.839475354,1.257460192,3.762788116,8.627652854,12.4493472,18.32566645,25.81789486,31.93811351,42.17413115,56.21991188,74.35820461
152,24.5,2.5,0.785107983,1.214490952,3.620316165,7.524573942,12.34003263,17.02446848,24.0552965,34.50535808,35.74200161,58.90191267,52.36254697
153,25.5,2.5,0.562644533,0.927959389,1.935932106,5.170752616,8.075466396,13.59814258,17.35089397,28.45653016,31.33052524,49.4007612,47.10258375
154,26.5,2.5,0.395989587,0.756761416,1.463060511,3.995856395,6.224151375,9.496643352,13.03109477,20.27863749,23.73322978,35.35677882,39.11282267
155,27.5,2.5,0.397022548,0.854844954,1.434774727,3.874663999,5.901664429,9.964854946,12.7890084,19.67981686,20.38212516,35.26832058,29.80274297
156,28.5,2.5,0.496327752,0.868367306,1.452160208,3.51102255,6.589202941,10.36858274,13.32706018,17.65664187,20.1469063,31.67849612,35.22457827
157,29.5,2.5,0.447014297,1.010371674,1.255899132,3.767101335,6.090725936,7.935395629,13.79171923,19.28722463,22.53516516,36.20060476,39.36446389
158,30.5,2.5,0.466625242,1.022455974,1.514333021,3.94138815,6.400194783,10.27431875,14.07503107,22.30711927,25.90259364,38.53266106,48.17030613
159,31.5,2.5,0.550972871,1.194333425,1.756245964,4.704479429,8.437091761,10.58233402,18.18363368,24.33297578,30.71833613,47.11712144,55.91336186
160,32.5,2.5,0.491911554,1.123601492,1.58283263,4.736242647,7.423243958,11.20210394,16.13781546,26.54931658,28.66976049,47.82604881,47.19336814
161,33.5,2.5,0.658159769,1.476565174,1.620629461,4.813665847,10.0783754,14.17239632,23.2443774,32.31720539,32.68226781,54.90990711,53.38097977
162,34.5,2.5,0.892409346,1.823250598,2.428886179,4.940098316,10.54604841,20.66801952,25.00380759,36.59459024,41.2573885,59.09357001,71.60246941
163,35.5,2.5,0.654190118,1.217031926,2.125010896,5.590146967,12.16642321,16.19126558,22.79113279,26.6739794,37.93861532,44.39902483,63.21783627
164,36.5,2.5,0.974999999,1.784293124,3.802003255,9.689487477,15.31785202,27.86660946,34.65082944,38.4016263,61.15629906,67.30878898,103.6441967
165,37.5,2.5,1.300478708,2.222607445,4.913430129,14.90974091,26.12058762,36.86417395,45.74557971,48.3970559,73.36132775,89.96028421,121.8640106
166,38.5,2.5,1.240025914,2.258905424,4.001583444,12.85734039,20.05810771,31.31858634,38.5136414,44.18907285,67.53376264,75.26938237,111.2371384
167,39.5,2.5,1.454996673,2.707097991,4.198823785,10.11148115,20.93486231,24.15939831,32.2494824,36.71343234,55.4009255,66.1382681,93.03716606
168,40.5,2.5,2.8956299,3.841609292,6.938973627,16.05458169,30.70581497,38.95371922,50.60439712,57.23828674,83.87116727,85.05596517,131.1548491
169,41.5,2.5,1.530441128,2.487422269,4.26662819,11.59012476,21.36664317,30.87185158,39.63303328,39.3293961,67.62499861,64.35553751,103.2579586
170,42.5,2.5,1.365815134,2.212198966,3.627600935,8.35766459,16.89270882,21.90604224,28.63761566,28.25508982,44.19748987,46.27172687,72.01740812
171,43.5,2.5,1.177301872,2.104338746,3.548418912,7.714698639,13.74697194,21.48250226,27.5477546,34.28704464,46.34394505,54.40907125,71.38961829
172,44.5,2.5,0,0,0,0,0,0,0,0,0,1.216794728,-0.192816317
173,45.5,2.5,0,0,0,0,0,0,0,0,0,0.777214627,0.053407664
174,46.5,2.5,0,0,0,0,0,0,0,0,0,0.85466561,-1.578122928
175,47.5,2.5,0.767541714,1.666546409,2.969302478,6.541539184,14.42202134,19.21113601,31.40555202,36.16872377,49.51248305,63.39338203,83.97892033
176,48.5,2.5,1.107746333,2.365284063,4.739808966,9.877478011,18.41739697,25.70386038,33.13724849,37.56824523,63.0729652,56.76731402,102.1651127
177,49.5,2.5,1.954521935,3.459957311,6.701324413,14.00470893,27.22996974,39.03554614,43.14658292,54.97991134,78.82440751,87.43617815,126.2383566
178,50.5,2.5,1.649042743,3.009933728,4.429518622,10.18035654,20.39127484,24.47960728,34.84817709,40.05916149,63.0898169,67.3624902,100.9413153
179,51.5,2.5,0.905416962,1.747896999,2.853349215,7.669066597,16.46942237,22.42304539,27.79888893,34.31493987,52.25873653,54.25207271,86.35622659
180,52.5,2.5,0.713840015,1.4684583,2.33644812,5.970698475,12.05529428,16.03222897,26.40346182,28.33617869,38.2767392,44.53917002,62.1505963
181,53.5,2.5,0.665966617,1.380176841,1.85791173,5.866585849,11.2726077,19.6118627,25.03696858,28.97862158,40.40208565,47.42237476,64.98723496
182,54.5,2.5,0.620635487,1.413280529,1.959711406,5.947218449,10.74253433,18.92204032,23.74454204,32.60607719,39.40313774,52.50415074,64.45185855
183,55.5,2.5,0.564593857,1.261160741,2.000620357,5.957679576,12.15500569,17.99018971,27.86025478,27.77893227,38.30358148,44.42588115,57.78870935
184,56.5,2.5,0.612295379,1.282211554,1.954276421,5.158904152,10.2565459,15.74529759,22.37582931,24.68615829,35.48505666,40.70228145,58.01678516
